id,scene_id,type,speaker,description
113,11,dialogue,一也,(振り向き)あっ、お前……
114,11,description,,ミチル、黙って泡盛の瓶を突き出す。
115,11,dialogue,一也,え……？
116,11,dialogue,ミチル,オジイから引っ越し祝い
117,11,description,,踵を返して、向かいの家に走っていくミチル。
118,11,dialogue,一也,オジイって誰……、おいっ！
119,11,description,,向かいの家の縁側で、クバの葉を編みながらサバニのアカ汲みを作っている玉城のオジイ。一也をチラリと見る。傍らには泡盛。
120,11,dialogue,一也,……（ペコッと頭を下げる）
121,12,description,,餌やりをしながらトレーニングをするユリ。
122,12,description,,餌のバケツを持った一也が来る。
123,12,description,,と、海獣課の方へ歩いて来るミチルに気づく。
124,12,dialogue,一也,(あれ？またあいつ……)
125,12,dialogue,ユリ,どうしたの？
126,12,dialogue,一也,あ、いや
127,12,description,,一也、フジに餌やりを始めようとすると、海獣課から出てきた福原がミチルと話しているのが見える。
128,12,dialogue,ユリ,"(気づいて)あの子、
ミチルっていうのよ。"
129,12,dialogue,ユリ,館長が昔から世話になっている漁師さんの孫なの
130,12,dialogue,一也,……
131,12,description,,ミチルに親しげに話しかける福原。
132,12,dialogue,ユリ,"親の離婚でオジイに預けられたまま、
学校にも行ってないみたい。"
133,12,dialogue,ユリ,いっつもフジに会いに来てんだよね
134,13,description,,目覚まし時計が鳴る。
135,13,description,,１つ鳴り、２つ鳴り、その数が増えていく。
136,13,description,,もぞもぞと一也の手が伸びてきて、目覚まし時計を探す。
137,14,description,,慌てて出てくる一也。
138,14,description,,ロードバイクに飛び乗り、走り出す。
139,15,description,,満員の観客の前、飼育員たちがショーを行っている。見事な技を披露しているイルカたち。
140,15,description,,観客から大きな拍手と歓声があがる。
141,16,description,,餌のバケツを積んだリヤカーを、走って引いていく一也。
142,17,description,,ステージ裏から、バケツを持った一也が慌ててやってくる。
143,17,description,,と、ツルッと滑り、転倒。
144,17,description,,バケツを引っくり返し、餌がステージに散乱する。
145,17,description,,イルカたちが、その餌を食べようとステージに乗り上げてきて、一也に迫る。
146,17,dialogue,一也,！
147,17,description,,大喜びの観客たち。
148,18,description,,空のバケツを積んだリヤカーを引いていく一也。
149,18,description,,丸窓のところにやってきたフジ、一也を見ている。
150,18,description,,ふと、丸窓に目を向ける一也。
151,18,description,,笑っているようなフジ。
152,18,dialogue,一也,……
153,19,description,,剛、ユリがイルカを横たわらせ、体温計を肛門に挿入する。
154,19,description,,ペンでメモを取っている一也。
155,19,description,,と、過ってペンをプールに落とす。
156,19,dialogue,一也,あ、ああ！
157,19,description,,うろたえる一也。
158,19,description,,すぐさまプールに飛び込むユリ。
159,19,dialogue,剛,"何やってんだお前！
イルカが飲み込んだらどうすんだ！"
160,19,dialogue,一也,……
161,19,description,,上がってきたユリ、無言でペンを一也に突き出す。
162,19,dialogue,一也,すみません……
163,20,description,,流しの前にしゃがみ込み、一也が１人黙々とバケツを洗っている。
164,20,description,,周りには大量のバケツが並んでいる。
165,20,description,,と、仲村が顔を出す。
166,20,dialogue,仲村,どうね、これだけあると楽しいだろ
167,20,dialogue,一也,"……課長、
オレいつまでこんなことやんなきゃなんないんですか"
168,20,dialogue,仲村,ん？
169,20,dialogue,一也,"餌切りに餌やり。
プール掃除にバケツ洗い。"
170,20,dialogue,一也,全部飼育員の仕事じゃないですか
171,20,dialogue,仲村,じゃあ、お前は何がやりたい？
172,20,dialogue,一也,"イルカの治療をしたり、
検査のデータを分析したり、
もっと他に――"
173,20,dialogue,仲村,"お前、
イルカのことどれだけわかってる！"
174,20,dialogue,一也,……
175,20,dialogue,仲村,"（厳しい顔で）飼育ができて、
しっかりイルカと付き合えなければ、"
176,20,dialogue,仲村,治療も検査もできやしない
177,20,dialogue,一也,……
178,20,dialogue,仲村,"データを見るだけの獣医なら、
ウチはいらない"
179,20,dialogue,一也,……
180,20,dialogue,仲村,（ニコッと顔を崩して）それが館長の方針だ
181,21,description,,大声を上げ、全速力でロードバイクをこいでいく一也。
182,21,description,,ほとばしる汗。息が切れる。
183,21,description,,倒れこむようにロードバイクを降りると、地面に寝転がり空を仰ぐ。
184,22,description,,カウンターの中に七海（30）。
185,22,description,,グラスに入った泡盛のロックを仲村の前に置く。
186,22,description,,もう片方の手に何か持っている。
187,22,dialogue,仲村,何ね、これ？
188,22,dialogue,七海,"来週、海亀の放流会あるでしょ。
その時どうかなと思って"
189,22,dialogue,仲村,……え？
190,22,description,,海亀の被り物を見つめる仲村。
191,22,dialogue,七海,かぶってみて
192,22,dialogue,仲村,……どんなして？
193,22,description,,七海、黙ってかぶってみせる。
194,22,dialogue,仲村,……
195,23,description,,机に突っ伏して眠ってしまっている一也、ハッと目を覚ます。
196,23,description,,皆帰ったのか、誰もいない。
197,23,description,,机の上で、携帯がブルブルしている。
198,23,description,,携帯を手に取り、メールを開く一也。
199,23,description,,『元気？　仕事には慣れた？　こっちは忙しいながらも毎日充実してます！　一也も頑張ってね。応援してるよ。　陽子』
200,23,description,,写メールを開くと、陽子が笑っている。
201,23,dialogue,一也,……
202,24,description,,部屋のあちこちに、魚の置物や標本があふれている。
203,24,description,,本や資料の山で埋もれているデスクで愛妻弁当をかきこみながら研究論文を書いている福原。
204,24,description,,と、叫び声が聞こえる。ビクッと反応する福原。
205,25,description,,月明かりの中、叫びながら水の中にダイブする一也。
206,25,description,,気持ちよさそうに顔を上げると、水面にポカリと浮かんでみせる。
207,25,dialogue,一也,……
208,25,description,,と、近くの水面がさざ波立つ。
209,25,description,,見ると、フジが水面からひょっこり顔を出している。
210,25,description,,黒いつぶらな瞳でじっと一也を見ているフジ。
211,25,dialogue,一也,フジ……
212,25,description,,一也の周りをグルグル回るフジ。
213,25,description,,遊んで、というように一也に寄ってくる。
214,25,dialogue,一也,……
215,25,description,,自然に笑みが浮かんでくる一也。
216,25,description,,応えるようにフジの体を触ったり、撫でたりする。
217,25,description,,いつまでも水の中で戯れている一也とフジ。
218,26,description,,窓から、イルカラグーンを見下ろしている福原。
219,27,dialogue,仲村,まず、持ち方はですね――
220,27,description,,海亀の被り物をした仲村が説明する中、地元の小学生や留学生たちが、海亀の放流会に参加している。
221,27,description,,一也、剛、ユリ、飼育員たちの先導で、海亀の子供たちが海へ放たれる。
222,27,description,,離れたところから、ミチルが見ている。
223,27,description,,大海原に向かって泳いでいく海亀の子供たち。
224,28,description,,“黒潮の海”で悠々と泳ぐ魚たち。
225,28,description,,水槽の上では、ジンベエザメの餌やりが行われている。
226,28,description,,福原がその様子を説明しながら外国人客を案内している。
227,28,description,,書類を手に歩いてきた一也、軽く会釈し、通り過ぎようとする。
228,28,dialogue,福原,植村
229,28,description,,広報課長に外国人客を任せる福原。
230,28,dialogue,福原,どうだ、やってるか？
231,28,dialogue,一也,はい。何とかやってます
232,28,dialogue,福原,そうか、まだもってるか
233,28,dialogue,一也,……
234,28,dialogue,福原,"ま、お前も、
結構ヤナワラバーだからな"
235,28,dialogue,一也,？
236,28,dialogue,福原,"オレも、
接待なんかより魚の相手していてーよ"
237,28,dialogue,一也,（思わず笑う。）
238,28,description,,笑って行こうとする福原、戻って。
239,28,dialogue,福原,"ああ。
(小指を立て)コレとうまくやってるか、
ええ？"
240,28,dialogue,一也,え？ハハ(愛想笑いで)
241,29,description,,新聞を読みながらコーヒーを飲んでいる仲村。
242,29,description,,一也が入ってくる。
243,29,dialogue,七海,いらっしゃい
244,29,description,,一也、仲村に軽く会釈する。
245,29,description,,仲村も軽く返す。
246,29,dialogue,一也,ソーキカレーください
247,29,dialogue,七海,はーい
248,29,dialogue,一也,"（小さな声で七海に）あの、
ヤナワラバーってどういう意味ですか？"
249,29,dialogue,七海,ヤナワラバー？
250,29,description,,声が大きい、という顔の一也。
251,29,dialogue,仲村,（新聞に目を落としたまま）それはフジのことだな
252,29,dialogue,一也,（え？と仲村を振り返る）
253,29,description,,クスクス笑う七海。
254,29,dialogue,一也,（さっぱりわけがわからず）……？
255,29,dialogue,七海,腕白で、強情っ張りって意味
256,29,description,,新聞で顔を隠し、笑っている仲村。
257,29,dialogue,七海,(笑いながら)あ、ソーキカレーね
258,29,dialogue,一也,……
259,31,description,,慣れた手つきで、魚を処理していく一也。
260,31,description,,ポロシャツの背の『ＳＴＡＦＦ』の文字が、ボロボロになっている。
261,32,description,,ユリと剛、飼育員たちがイルカを押さえている。
262,32,description,,手際よく採血する一也。
263,32,description,,イルカは、信頼しきった様子で静かに体を預けている。
264,32,dialogue,ユリ,チャオの朝の数値どうだった？
265,32,dialogue,一也,"白血球の数も下がってきてますし、
血液像も良化してるんで、"
266,32,dialogue,一也,このままでいきますい
267,33,description,,検査機器を使いこなす一也。
268,33,description,,棚には日誌がズラリと並んでいる。
269,34,description,,仕事が一息ついた一也、携帯で陽子と話している。
270,34,dialogue,一也,もしもし？
271,34,dialogue,陽子の声,"どうしたの？
こんな時間にめずらしいね"
272,34,dialogue,一也,"いや、ちょっと時間空いたから。
今大丈夫？"
273,34,description,,陽子の声｢うん。大丈夫だよ。今、成田に向かってるところ｣
274,34,dialogue,一也,え、また出張？
275,34,dialogue,陽子の声,"そう、今週も休みなし。大変。
一也はどうしてんの？"
276,34,dialogue,一也,"こっちも大変だよ。
やんなきゃいけないことめちゃくちゃいっぱいあってさ"
277,34,dialogue,陽子の声,へー
278,34,dialogue,一也,獣医オレ一人だし
279,34,dialogue,陽子の声,頑張ってるじゃん
280,34,description,,楽しく話している一也。
281,34,description,,丸窓の向こうから、フジがそんな一也を見ている。
282,35,description,,三線をつま弾く仲村。
283,35,description,,七海、そばの椅子に座り、その美しい音色を聞いている。
284,36,description,,丸窓の前、ホイッスル音を出し、落ち着かない様子のフジ。
285,36,description,,どこか不安そうだ。
286,37,description,,一也がラグーンプールの階段を駆け上り、急いで梯子を降りていく。
287,37,description,,プールの中央にはフジを囲むように仲村、剛、ユリ、飼育員Ａ、Ｂ、Ｃがいる。
288,37,description,,一也、歩み寄り、
289,37,dialogue,一也,！
290,37,description,,フジの尾びれの端が白く変色している。
291,37,description,,仲村に促されて、尾びれの匂いを嗅ぐ一也。
292,37,dialogue,一也,（ウッと顔をしかめる）
293,37,dialogue,仲村,腐った匂いがするだろ
294,37,dialogue,一也,……壊死してますね
295,37,dialogue,剛,壊死してるのはわかってるさッ！
296,37,dialogue,一也,……
297,37,dialogue,剛,"お前、
獣医のくせに気づかなかったのかよ！"
298,37,description,,一也に掴みかかる剛。
299,37,description,,一也、その手を振り払うが、剛は再び掴みかかる。
300,37,description,,２人、揉み合いになる。
301,37,description,,止めようとする仲村の声も聞かず、掴み合ったまま水の中に転がる２人。
302,37,dialogue,仲村,いい加減にしろッ！
303,38,description,,ずぶ濡れの一也、入ってくるなりドクターシャツを脱ぎ、床に叩きつける。
304,38,dialogue,一也,……
305,38,description,,ユリが合羽を取りに入ってくる。
306,38,description,,部屋に気まずい空気が流れる。
307,38,dialogue,ユリ,"……比嘉君ね、
前に担当してたリュウっていうイルカを亡くしてるの"
308,38,dialogue,一也,……
309,38,dialogue,ユリ,"だから獣医のあなたには、
ついキツイこと言っちゃうのよ"
310,38,dialogue,一也,気持ちはわかりますけど……
311,38,dialogue,ユリ,植村君
312,38,dialogue,一也,……
313,38,dialogue,ユリ,"あなた、自分が世話してきた動物、
死なせたことある？"
314,38,dialogue,一也,……
315,38,description,,記録用のビデオカメラを手に、プールに戻るユリ。
316,38,description,,部屋に一人残された一也。
317,39,description,,プールサイドにミチルがたたずみ、じっとフジを見つめている。
318,39,description,,弱々しい泳ぎのフジ。
319,39,dialogue,一也Ｎ,フジの発病は突然だった……
320,40,description,,日誌を取り出す一也。
321,40,dialogue,一也Ｎ,"原因不明の感染症。
壊死がなぜ起こったのか？
わからない……。"
322,40,dialogue,一也Ｎ,"野生のイルカにも、
同じ症例が確認されている"
323,40,description,,『白血球』『血沈』『壊死』と、文字が綴られていく。
324,41,description,,水を落としたプール。
325,41,description,,ドクターシャツを着た一也が、フジの尾びれの壊死した部分を消毒している。
326,41,description,,剛、フジの尾びれを押さえている。
327,41,description,,目線を合わすことなく作業している２人。
328,41,description,,餌の魚に抗生薬を埋め込む一也。
329,41,dialogue,一也Ｎ,"薬をより強いものに変える。
その副作用なのか、
肝機能障害が出始める。"
330,41,dialogue,一也Ｎ,"しかし、その後も壊死は止まらず、
進行する"
331,41,description,,フジの口を開けようとする剛とユリ。
332,41,description,,一也が魚を与えようとするが、フジは口を開かない。
333,41,description,,×　　　　×　　　　×
334,41,description,,一也、剛、ユリ、フジに点滴をしている。
335,41,dialogue,一也Ｎ,"栄養と薬を与えるため、
点滴に変える。しかし、
その後も壊死は止まらず、"
336,41,dialogue,一也Ｎ,進行する
337,42,description,,仲村のデスクの前に一也がいる。
338,42,dialogue,一也,"調べた限りでは、
フジと似たような症例で、"
339,42,dialogue,一也,生存しているイルカは１頭もいません
340,42,description,,自席で仕事しながら、一也の言葉を聞いている剛、ユリ、飼育員Ａ、Ｂ、Ｃ。
341,42,dialogue,仲村,……で、お前の結論は？
342,42,dialogue,一也,"……壊死した部分を、
切り落とすしかないと思っています"
343,42,dialogue,剛,!?
344,42,dialogue,ユリ,他に方法はないの？
345,42,dialogue,一也,"このまま今の治療を続けても、
死ぬのを待つだけです"
346,42,dialogue,一同,……
347,42,dialogue,剛,切れば助かるのか？
348,42,dialogue,一也,壊死が止まらなければフジは確実に死にます。
349,42,dialogue,一也,"切り落として壊死が止まれば、
助かる可能性があります"
350,42,dialogue,一同,……
351,43,description,,海側にもう１つ小さなプール（隔離プール）がある。
352,43,description,,フジの尾びれを、サーモグラフィーのカメラで診察する一也。
353,43,dialogue,一也Ｎ,サーモグラフィーで壊死の状態を検査する
354,43,description,,色が異なる尾びれの画像が現れる。
355,43,dialogue,一也Ｎ,フジの尾びれの４分の３に血液が流れていなかった
356,44,description,,フジがポツンと一頭だけ弱々しく浮かんでいる。
357,44,dialogue,仲村の声,"明日、
電気メスによるフジの尾びれの切除手術を行う"
358,45,description,,仲村が、一也と飼育員全員を前に話している。
359,45,description,,神妙な様子で聞いている一同。
360,45,dialogue,仲村,手術は県立北部病院の島袋先生にお願いしました。
361,45,dialogue,仲村,"尾びれの右側を島袋先生、
左側を植村が担当する"
362,45,dialogue,一也,……
363,45,dialogue,剛,経験もない獣医で大丈夫なんですか
364,45,dialogue,仲村,誰にでも初めてはある
365,45,dialogue,一也,……
366,46,description,,福原が、浮かんでいるだけのフジを見ている。
367,46,description,,やってきた一也、福原に気づく。
368,46,dialogue,一也,お疲れさまです
369,46,dialogue,福原,……単純だけどいい名前だよな
370,46,dialogue,一也,……
371,46,dialogue,福原,"富士山の見える伊豆の海から来たからフジ。
オレが付けたんだけどな"
372,46,dialogue,一也,（微苦笑）
373,46,dialogue,福原,"もう30年になるか、
フジがここに来てから……"
374,47,description,,沖縄海洋博覧会の会場(空撮)。
375,47,description,,――テロップ『１９７５年　沖縄国際海洋博覧会』
376,47,dialogue,福原の声,沖縄海洋博が終わってすぐだったから……
377,47,description,,×　　　　×　　　　×
378,47,description,,会場へリポート。木箱に入れられた、およそ６歳の雌イルカ（フジ）が、ヘリコプターから搬出される。
379,47,description,,×　　　　×　　　　×
380,47,description,,水族館。専用担架で吊るされ、背中には濡れ毛布をかけられたフジがプールに放たれる。
381,47,dialogue,福原の声,"フジはとにかく頑固で、
あまのじゃくで、
手を焼かされたもんだ"
382,47,description,,×　　　　×　　　　×
383,47,description,,沖縄海洋博覧会でのイルカショー。
384,47,dialogue,福原の声,"ショーが嫌いでな、
得意な技は１つもなかった"
385,47,description,,×　　　　×　　　　×
386,47,description,,フジの出産。
387,47,description,,生殖溝から出てくる赤ん坊の尾びれ。
388,47,dialogue,福原の声,"だけど、３頭も子供を生んで、
育てた。
フジは美ら海のビックマザーだ"
389,47,description,,×　　　　×　　　　×
390,47,description,,子供をプールの縁から守るように並んで泳ぐフジ。
391,48,dialogue,福原,……手術は明日か
392,48,dialogue,一也,はい……
393,48,dialogue,福原,そうか……
394,48,description,,去っていく福原。
395,48,dialogue,一也,……
396,48,description,,静かに浮かんでいるフジ。
397,49,description,,ロードバイクで帰ってくる一也。
398,49,description,,と、家の前でミチルがしゃがんで待っている。
399,49,dialogue,ミチル,（じっと見つめ）……
400,49,dialogue,一也,……
401,49,description,,一也、通り過ぎようとすると、ミチルが立ち上がる。
402,49,dialogue,ミチル,……
403,49,dialogue,一也,(立ち止まり)……
404,49,dialogue,ミチル,……フジは助かるのか？
405,49,dialogue,一也,……やれるだけのことはやる
406,49,description,,一也をじっと見て、踵を返し帰っていくミチル。
407,49,dialogue,一也,……
408,50,description,,迷路のような道を歩いていくミチル。
409,51,description,,担架に乗せられたフジが、剛、ユリ、飼育員Ａ、Ｂ、Ｃに押さえられている。
410,51,description,,仲村と一也の前に、県立北部病院の医師・島袋隆史（57）。
411,51,description,,一也がフジの尾びれに麻酔を打つ。
412,51,description,,×　　　　×　　　　×
413,51,description,,電気メスを手にした島袋が、右の尾びれを切り落としていく。
414,51,description,,その手の動きをじっと見ている一也。
415,51,description,,フジを押さえる剛の手に力が入る。
416,51,dialogue,剛,頑張れよ、すぐ終わるから
417,52,description,,息を切らしながら険しい坂を上っていくミチル。
418,53,description,,電気メスの鋭い音が微かに響いている。
419,53,description,,じっと痛みに耐えているフジ。
420,53,description,,心配そうに見守る仲村、剛、ユリたち。
421,53,description,,左の尾びれが切り離され、受け取る一也。
422,53,dialogue,一也,……
423,54,description,,ミチルの前に、がじゅまるの巨木が現れる。
424,55,description,,一也、大きく深呼吸すると、左の尾びれを電気メスで切除し始める。
425,56,description,,森の中にひっそりそびえるがじゅまるの木。
426,56,description,,木の下に歩いていくミチル。
427,57,description,,真剣な表情の一也。
428,57,description,,フジを押さえる剛、一也の手術を見守っている。
429,57,description,,分厚い尾びれから煙が出る。
430,57,description,,フジの鳴き声が周囲を包み込む。
431,58,description,,木の根元で、手を合わせ祈るミチル。
432,59,description,,うちわのように丸く小さくなった尾びれのフジに、剛が餌を与えている。
433,59,description,,餌を食べるフジ。
434,59,dialogue,一也Ｎ,"手術は成功した。
フジの食事量は少しずつ増え、"
435,59,dialogue,一也Ｎ,傷口も順調に回復してきている
436,60,description,,飼育員総動員でフジを移動している。
437,60,description,,落水されたプールから、専用担架に乗せられたフジがクレーンで吊り上げられ、プールの外に止められたトラックの荷台に移される。
438,60,dialogue,一也Ｎ,"白血球の値が正常に戻り、
２次感染の心配もなくなった"
439,60,description,,×　　　　×　　　　×
440,60,description,,走るトラック。その荷台、専用担架に乗ったフジ。
441,60,dialogue,一也Ｎ,"フジを隔離プールからラグーンプールに戻す。
フジの命は、助かった"
442,60,description,,×　　　　×　　　　×
443,60,description,,クレーンに吊るされた担架からメインプールに放たれるフジ。
444,61,description,,ほとんど動くことなく浮かんでいるだけのフジ。
445,61,description,,土砂降りのプールサイドで、フジを見つめるミチル。
446,62,description,,いくつものホイッスル音を発しながら、野性のイルカたちが、自由に大海を泳いでいく。
447,63,description,,ハッと夢から覚める一也。
448,63,dialogue,一也,（あ……）
449,63,description,,倒れたカップからコーヒーがこぼれ、本の表紙がコーヒーまみれになっている。
450,63,description,,慌てて拭く一也。
451,63,description,,その本、『マナティ、海に暮らす』。
452,63,description,,ふと、イルカラグーンの方に人の気配を感じ、窓の外を見る。
453,64,description,,プールの中央に、フジがポツンと浮かんでいる。
454,64,description,,プールサイドに立つ人影が、突然プールに飛び込む。
455,64,description,,丸窓の中を横切る人影。
456,64,description,,懐中電灯を手に階段を上がってきた一也、あたりを見回す。
457,64,description,,プールから上がった人影が走り出す。
458,64,description,,後を追う一也。
459,65,description,,逃げる人影。
460,65,description,,追う一也。
461,65,description,,一也、人影に追いつき、その背を掴む。
462,65,description,,倒れ込む２人。
463,65,description,,くんづほぐれつ相手を押さえ込む一也。
464,65,dialogue,一也,おいッ
465,65,description,,相手の肩を掴み、顔を見る一也。
466,65,dialogue,一也,（お前）……
467,65,dialogue,ミチル,（キッと一也を睨み）……
468,65,dialogue,一也,……
469,65,dialogue,ミチル,(その手を振り払い)泳げないイルカはイルカじゃない！
470,65,description,,暗闇の向こうへ走り去っていくミチル。
471,65,dialogue,一也,……
472,66,description,,ポツンと浮かんでいるフジ。
473,66,description,,じっと見つめている一也。
474,66,dialogue,一也,……
475,67,description,,サバニの船底に溜まった水を、アカ汲みでかきだしているオジイ。
476,67,description,,ロードバイクを押して、一也が力なく歩いてくる。
477,67,dialogue,オジイ,……
478,67,dialogue,一也,……
479,68,description,,オジイと一也を乗せたサバニが、沖へ向かって走る。
480,68,description,,やがて、大海原が広がっていく。
481,68,description,,×　　　　×　　　　×
482,68,description,,夕凪になっている。
483,68,description,,サバニの上のオジイと一也を、夕陽がオレンジ色に染めている。
484,68,description,,身じろぎもせず、海を見つめているオジイと一也。
485,68,description,,69　海沿いの道
486,68,description,,一也が全速力でロードバイクをこいでいく。
487,70,description,,机の上の資料の山から『マナティ、海に暮らす』を探し出す。
488,70,description,,傍にあった『ＣＲＣハンドブック』も手に取る。
489,70,dialogue,一也の声,"フジは、
このまま泳がない状態が続けば、"
490,70,dialogue,一也の声,新たな病気を引き起こす可能性があります。
